date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W)
2020-01-21 0:0:00,0.0,18.1,0.0,0.3,0.0,18.4
2020-01-21 0:15:00,0.0,18.1,0.0,0.3,0.0,18.5
2020-01-21 0:30:00,0.0,18.1,0.0,0.4,0.0,18.5
2020-01-21 0:45:00,0.0,18.1,0.0,0.3,0.0,18.5
2020-01-21 1:0:00,0.0,18.1,0.0,0.4,0.0,18.5
2020-01-21 1:15:00,0.0,18.1,0.0,0.3,0.0,18.5
2020-01-21 1:30:00,0.0,18.1,0.0,0.6,0.0,18.8
2020-01-21 1:45:00,0.5,7.9,0.0,2.0,0.0,9.4
2020-01-21 2:0:00,0.3,0.1,0.0,0.6,0.0,0.4
2020-01-21 2:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 2:30:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 2:45:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 3:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 3:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 3:30:00,0.8,0.1,0.0,1.1,0.0,0.5
2020-01-21 3:45:00,1.6,0.0,0.0,2.0,0.0,0.4
2020-01-21 4:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 4:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 4:30:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 4:45:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 5:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 5:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 5:30:00,0.8,0.1,0.0,1.2,0.0,0.5
2020-01-21 5:45:00,1.3,0.0,0.0,1.7,0.0,0.4
2020-01-21 6:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 6:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 6:30:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 6:45:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 7:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 7:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 7:30:00,1.0,0.1,0.0,1.3,0.0,0.4
2020-01-21 7:45:00,1.1,0.0,0.0,1.5,0.0,0.4
2020-01-21 8:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 8:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 8:30:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 8:45:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-01-21 9:0:00,0.0,0.1,0.0,0.2,0.0,0.3
2020-01-21 9:15:00,0.0,0.1,0.0,0.1,0.0,0.2
2020-01-21 9:30:00,0.6,0.1,0.5,1.3,0.0,0.4
2020-01-21 9:45:00,0.5,0.1,0.8,1.5,0.0,0.3
2020-01-21 10:0:00,0.0,0.5,0.6,0.2,0.0,0.1
2020-01-21 10:15:00,0.0,1.9,1.8,0.2,0.0,0.2
2020-01-21 10:30:00,0.0,2.7,2.6,0.1,0.0,0.1
2020-01-21 10:45:00,0.0,3.5,3.5,0.1,0.0,0.1
2020-01-21 11:0:00,0.0,4.0,4.0,0.1,0.0,0.1
2020-01-21 11:15:00,0.0,5.0,5.0,0.1,0.0,0.1
2020-01-21 11:30:00,0.0,4.2,5.1,1.3,0.0,0.5
2020-01-21 11:45:00,0.0,3.9,5.0,1.4,0.0,0.4
2020-01-21 12:0:00,0.0,6.2,6.2,0.1,0.0,0.1
2020-01-21 12:15:00,0.0,0.4,4.3,0.4,3.5,0.0
2020-01-21 12:30:00,0.0,0.0,4.9,0.5,4.4,0.0
2020-01-21 12:45:00,0.0,0.0,3.6,0.4,3.1,0.0
2020-01-21 13:0:00,0.0,0.0,2.3,0.4,1.9,0.0
2020-01-21 13:15:00,0.0,0.0,2.0,0.4,1.5,0.0
2020-01-21 13:30:00,0.0,0.0,2.0,1.5,0.6,0.1
2020-01-21 13:45:00,0.0,0.0,1.7,1.5,0.4,0.2
