date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W)
2020-08-04 0:0:00,0.0,0.1,0.0,5.3,0.0,5.4
2020-08-04 0:15:00,0.0,0.1,0.0,6.1,0.0,6.2
2020-08-04 0:30:00,0.0,0.1,0.0,4.7,0.0,4.8
2020-08-04 0:45:00,0.0,0.1,0.0,4.5,0.0,4.6
2020-08-04 1:0:00,0.0,0.1,0.0,4.6,0.0,4.7
2020-08-04 1:15:00,0.0,0.1,0.0,4.2,0.0,4.3
2020-08-04 1:30:00,0.0,0.1,0.0,5.8,0.0,5.9
2020-08-04 1:45:00,0.0,0.1,0.0,4.6,0.0,4.7
2020-08-04 2:0:00,0.0,0.1,0.0,2.6,0.0,2.7
2020-08-04 2:15:00,0.0,0.1,0.0,1.6,0.0,1.7
2020-08-04 2:30:00,0.0,0.1,0.0,1.6,0.0,1.7
2020-08-04 2:45:00,0.0,0.1,0.0,1.5,0.0,1.6
2020-08-04 3:0:00,0.0,0.1,0.0,1.5,0.0,1.6
2020-08-04 3:15:00,0.0,0.1,0.0,2.9,0.0,3.0
2020-08-04 3:30:00,0.0,0.1,0.0,3.0,0.0,3.1
2020-08-04 3:45:00,0.0,0.1,0.0,1.6,0.0,1.7
2020-08-04 4:0:00,0.0,0.1,0.0,1.5,0.0,1.6
2020-08-04 4:15:00,0.0,0.1,0.0,1.6,0.0,1.8
2020-08-04 4:30:00,0.0,0.1,0.0,1.5,0.0,1.6
2020-08-04 4:45:00,0.0,0.1,0.0,1.9,0.0,2.0
2020-08-04 5:0:00,0.0,0.1,0.0,3.2,0.0,3.3
2020-08-04 5:15:00,0.0,0.1,0.0,2.5,0.0,2.6
2020-08-04 5:30:00,0.0,0.1,0.0,1.5,0.0,1.6
2020-08-04 5:45:00,0.0,0.1,0.0,1.5,0.0,1.6
2020-08-04 6:0:00,0.0,0.1,0.0,1.5,0.0,1.6
2020-08-04 6:15:00,0.0,0.1,0.0,1.5,0.0,1.6
2020-08-04 6:30:00,0.0,0.1,0.0,2.5,0.0,2.6
2020-08-04 6:45:00,0.0,0.1,0.0,3.1,0.0,3.2
2020-08-04 7:0:00,0.0,0.1,0.0,1.9,0.0,2.0
2020-08-04 7:15:00,0.0,0.1,0.0,1.5,0.0,1.6
2020-08-04 7:30:00,0.0,0.0,0.0,1.6,0.0,1.6
2020-08-04 7:45:00,0.0,1.6,1.5,1.5,0.0,1.5
2020-08-04 8:0:00,0.0,6.2,6.2,1.5,0.0,1.5
2020-08-04 8:15:00,0.0,9.1,9.4,3.0,0.0,2.8
2020-08-04 8:30:00,0.0,5.8,11.4,3.1,3.3,0.9
2020-08-04 8:45:00,0.0,0.0,12.5,1.7,10.8,0.0
2020-08-04 9:0:00,0.0,0.0,12.7,1.7,11.0,0.0
2020-08-04 9:15:00,0.0,0.0,15.6,1.8,13.8,0.0
2020-08-04 9:30:00,0.0,0.0,19.7,1.8,17.9,0.0
2020-08-04 9:45:00,0.0,0.0,18.9,2.3,16.6,0.0
2020-08-04 10:0:00,0.0,0.0,24.1,3.4,20.7,0.0
2020-08-04 10:15:00,0.0,0.0,24.5,7.9,16.6,0.0
