date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W)
2020-06-22 0:0:00,1.7,0.0,0.0,2.2,0.0,0.5
2020-06-22 0:15:00,1.7,0.0,0.0,2.6,0.0,0.8
2020-06-22 0:30:00,0.4,0.1,0.0,0.7,0.0,0.4
2020-06-22 0:45:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-22 1:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-22 1:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-22 1:30:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-22 1:45:00,0.5,0.1,0.0,0.8,0.0,0.5
2020-06-22 2:0:00,1.5,0.0,0.0,2.0,0.0,0.5
2020-06-22 2:15:00,0.4,0.1,0.0,0.7,0.0,0.4
2020-06-22 2:30:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-22 2:45:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-22 3:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-22 3:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-22 3:30:00,0.4,0.1,0.0,0.8,0.0,0.5
2020-06-22 3:45:00,1.5,0.0,0.0,2.0,0.0,0.5
2020-06-22 4:0:00,0.5,0.1,0.0,0.9,0.0,0.4
2020-06-22 4:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-22 4:30:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-22 4:45:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-22 5:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-22 5:15:00,0.1,0.1,0.0,0.5,0.0,0.5
2020-06-22 5:30:00,1.5,0.0,0.0,2.0,0.0,0.5
2020-06-22 5:45:00,0.4,0.1,0.0,1.1,0.0,0.8
2020-06-22 6:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-22 6:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-22 6:30:00,0.0,0.1,0.0,0.2,0.0,0.3
2020-06-22 6:45:00,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-22 7:0:00,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-22 7:15:00,0.0,0.0,0.0,1.7,0.0,1.6
