date,Production(KWh),Consumption(KWh)
2023-11-25 0:00:00,0.0,7.05
2023-11-25 1:00:00,0.0,6.92
2023-11-25 2:00:00,0.0,6.78
2023-11-25 3:00:00,0.0,6.91
2023-11-25 4:00:00,0.0,6.9
2023-11-25 5:00:00,0.0,6.71
2023-11-25 6:00:00,0.0,6.39
2023-11-25 7:00:00,0.0,5.74
2023-11-25 8:00:00,2.01,5.91
2023-11-25 9:00:00,3.61,5.9
2023-11-25 10:00:00,13.45,6.15
2023-11-25 11:00:00,30.88,6.35
2023-11-25 12:00:00,29.23,6.0
2023-11-25 13:00:00,27.1,5.86
2023-11-25 14:00:00,30.21,6.05
2023-11-25 15:00:00,13.23,6.18
2023-11-25 16:00:00,6.04,6.46
2023-11-25 17:00:00,0.86,6.5
2023-11-25 18:00:00,0.0,6.59
2023-11-25 19:00:00,0.0,6.69
2023-11-25 20:00:00,0.0,6.83
2023-11-25 21:00:00,0.0,6.76
2023-11-25 22:00:00,0.0,6.42
2023-11-25 23:00:00,0.0,6.49
