date,Production(KWh),Consumption(KWh)
2023-09-27 0:00:00,0.0,7.7
2023-09-27 1:00:00,0.0,6.5
2023-09-27 2:00:00,0.0,5.7
2023-09-27 3:00:00,0.0,5.0
2023-09-27 4:00:00,0.0,4.6
2023-09-27 5:00:00,0.0,4.9
2023-09-27 6:00:00,0.0,5.6
2023-09-27 7:00:00,0.2,6.2
2023-09-27 8:00:00,1.1,6.6
2023-09-27 9:00:00,9.0,6.7
2023-09-27 10:00:00,10.7,6.8
2023-09-27 11:00:00,19.5,6.8
2023-09-27 12:00:00,16.0,7.2
2023-09-27 13:00:00,24.7,8.1
2023-09-27 14:00:00,40.3,8.9
2023-09-27 15:00:00,18.7,9.4
2023-09-27 16:00:00,9.7,9.8
2023-09-27 17:00:00,4.9,9.4
2023-09-27 18:00:00,0.7,8.6
2023-09-27 19:00:00,0.0,7.9
2023-09-27 20:00:00,0.0,10.6
2023-09-27 21:00:00,0.0,10.5
2023-09-27 22:00:00,0.0,10.4
2023-09-27 23:00:00,0.0,10.4
