date,Discharge(W),Charge(W),Production(W),Consumption(W)
2020-03-25 0:00:00,0.0,0.0,0.0,0.2
2020-03-25 1:00:00,0.0,0.0,0.0,0.1
2020-03-25 2:00:00,0.0,0.0,0.0,0.1
2020-03-25 3:00:00,0.0,0.0,0.0,0.0
2020-03-25 4:00:00,0.0,0.0,0.0,0.1
2020-03-25 5:00:00,0.0,0.0,0.0,0.1
2020-03-25 6:00:00,0.0,0.0,0.0,0.0
2020-03-25 7:00:00,0.0,0.0,0.0,0.1
2020-03-25 8:00:00,0.0,0.1,0.1,0.0
2020-03-25 9:00:00,0.0,0.1,0.2,0.3
2020-03-25 10:00:00,0.0,0.4,0.5,0.1
2020-03-25 11:00:00,0.2,0.3,0.5,0.5
2020-03-25 12:00:00,0.3,0.2,0.5,0.8
2020-03-25 13:00:00,0.0,0.7,0.9,0.2
2020-03-25 14:00:00,0.0,0.8,0.9,0.1
2020-03-25 15:00:00,0.1,0.8,1.0,0.3
2020-03-25 16:00:00,0.1,0.4,0.5,0.2
2020-03-25 17:00:00,0.0,0.0,0.0,0.0
2020-03-25 18:00:00,0.3,0.0,0.0,0.3
2020-03-25 19:00:00,0.6,0.0,0.0,0.6
2020-03-25 20:00:00,0.7,0.0,0.0,0.7
2020-03-25 21:00:00,0.5,0.0,0.0,1.2
2020-03-25 22:00:00,0.0,0.0,0.0,0.5
2020-03-25 23:00:00,0.0,0.0,0.0,0.4
