date,Production(KWh),Consumption(KWh)
2023-12-22 0:00:00,0.0,13.62
2023-12-22 1:00:00,0.0,13.21
2023-12-22 2:00:00,0.0,12.52
2023-12-22 3:00:00,0.0,9.5
2023-12-22 4:00:00,0.0,8.84
2023-12-22 5:00:00,0.0,8.29
2023-12-22 6:00:00,0.0,8.19
2023-12-22 7:00:00,0.94,8.21
2023-12-22 8:00:00,1.64,8.41
2023-12-22 9:00:00,4.29,8.55
2023-12-22 10:00:00,8.59,8.64
2023-12-22 11:00:00,9.38,8.69
2023-12-22 12:00:00,9.45,8.57
2023-12-22 13:00:00,9.2,8.63
2023-12-22 14:00:00,6.29,9.08
2023-12-22 15:00:00,3.84,9.64
2023-12-22 16:00:00,1.03,10.08
2023-12-22 17:00:00,0.0,10.13
2023-12-22 18:00:00,0.0,10.04
2023-12-22 19:00:00,0.0,9.89
2023-12-22 20:00:00,0.0,9.71
2023-12-22 21:00:00,0.0,9.49
2023-12-22 22:00:00,0.0,9.29
2023-12-22 23:00:00,0.0,9.27
