date,Production(KWh),Consumption(KWh)
2023-09-29 0:00:00,0.0,9.9
2023-09-29 1:00:00,0.0,9.7
2023-09-29 2:00:00,0.0,9.3
2023-09-29 3:00:00,0.0,8.9
2023-09-29 4:00:00,0.0,8.3
2023-09-29 5:00:00,0.0,7.6
2023-09-29 6:00:00,0.0,7.5
2023-09-29 7:00:00,0.0,7.5
2023-09-29 8:00:00,0.0,7.5
2023-09-29 9:00:00,0.0,7.4
2023-09-29 10:00:00,4.1,7.4
2023-09-29 11:00:00,14.6,7.5
2023-09-29 12:00:00,11.4,7.6
2023-09-29 13:00:00,18.3,7.7
2023-09-29 14:00:00,15.9,8.1
2023-09-29 15:00:00,16.4,8.4
2023-09-29 16:00:00,5.9,8.9
2023-09-29 17:00:00,1.4,9.3
2023-09-29 18:00:00,2.0,9.3
2023-09-29 19:00:00,0.0,9.1
2023-09-29 20:00:00,0.0,8.8
2023-09-29 21:00:00,0.0,8.5
2023-09-29 22:00:00,0.0,8.1
2023-09-29 23:00:00,0.0,8.0
