date,Production(KWh),Consumption(KWh)
2023-11-28 0:00:00,0.0,6.5
2023-11-28 1:00:00,0.0,6.4
2023-11-28 2:00:00,0.0,6.3
2023-11-28 3:00:00,0.0,6.4
2023-11-28 4:00:00,0.0,6.5
2023-11-28 5:00:00,0.0,6.4
2023-11-28 6:00:00,0.0,6.5
2023-11-28 7:00:00,0.0,6.5
2023-11-28 8:00:00,0.7,6.4
2023-11-28 9:00:00,2.9,6.5
2023-11-28 10:00:00,20.3,6.4
2023-11-28 11:00:00,34.7,6.5
2023-11-28 12:00:00,38.6,6.7
2023-11-28 13:00:00,38.5,6.6
2023-11-28 14:00:00,34.4,7.1
2023-11-28 15:00:00,23.3,7.0
2023-11-28 16:00:00,7.0,9.6
2023-11-28 17:00:00,0.5,12.1
2023-11-28 18:00:00,0.0,11.0
2023-11-28 19:00:00,0.0,11.0
2023-11-28 20:00:00,0.0,12.8
2023-11-28 21:00:00,0.0,10.0
2023-11-28 22:00:00,0.0,12.2
2023-11-28 23:00:00,0.0,14.4
