date,Production(KWh),Consumption(KWh)
2023-12-23 0:00:00,0.0,8.8
2023-12-23 1:00:00,0.0,8.7
2023-12-23 2:00:00,0.0,8.6
2023-12-23 3:00:00,0.0,8.8
2023-12-23 4:00:00,0.0,9.1
2023-12-23 5:00:00,0.0,8.3
2023-12-23 6:00:00,0.0,8.4
2023-12-23 7:00:00,0.0,8.3
2023-12-23 8:00:00,1.3,8.3
2023-12-23 9:00:00,5.4,8.2
2023-12-23 10:00:00,25.7,8.2
2023-12-23 11:00:00,32.0,8.2
2023-12-23 12:00:00,15.8,8.2
2023-12-23 13:00:00,26.9,8.3
2023-12-23 14:00:00,9.2,8.3
2023-12-23 15:00:00,3.3,8.3
2023-12-23 16:00:00,0.5,8.1
2023-12-23 17:00:00,0.0,8.3
2023-12-23 18:00:00,0.0,8.4
2023-12-23 19:00:00,0.0,9.7
2023-12-23 20:00:00,0.0,9.7
2023-12-23 21:00:00,0.0,9.7
2023-12-23 22:00:00,0.0,9.7
2023-12-23 23:00:00,0.0,6.8
