date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W),State of Charge(%)
2020-12-13 0:0:00,0.0,0.12,0.0,0.28,0.0,0.4,92.0
2020-12-13 0:1:00,0.0,0.12,0.0,0.28,0.0,0.4,92.0
2020-12-13 0:2:00,0.0,0.12,0.0,0.28,0.0,0.4,92.0
2020-12-13 0:3:00,0.0,0.13,0.0,0.28,0.0,0.41,92.0
2020-12-13 0:4:00,0.0,0.12,0.0,0.28,0.0,0.4,92.0
2020-12-13 0:5:00,0.0,0.12,0.0,0.3,0.0,0.42,92.0
2020-12-13 0:6:00,0.0,0.12,0.0,0.28,0.0,0.4,92.0
2020-12-13 0:7:00,0.0,0.12,0.0,0.27,0.0,0.39,92.0
2020-12-13 0:8:00,0.0,0.12,0.0,0.3,0.0,0.42,92.0
2020-12-13 0:9:00,0.0,0.12,0.0,0.28,0.0,0.4,92.0
2020-12-13 0:10:00,0.0,0.12,0.0,0.28,0.0,0.4,92.0
2020-12-13 0:11:00,0.0,0.12,0.0,0.28,0.0,0.4,92.0
2020-12-13 0:12:00,0.0,0.12,0.0,0.27,0.0,0.39,92.0
2020-12-13 0:13:00,0.0,0.12,0.0,0.27,0.0,0.39,92.0
2020-12-13 0:14:00,0.0,0.12,0.0,0.28,0.0,0.4,92.0
2020-12-13 0:15:00,0.0,0.12,0.0,0.27,0.0,0.39,92.0
2020-12-13 0:16:00,0.0,0.12,0.0,0.28,0.0,0.4,92.0
2020-12-13 0:17:00,0.0,0.12,0.0,0.28,0.0,0.4,92.0
2020-12-13 0:18:00,0.0,0.12,0.0,0.27,0.0,0.39,92.0
2020-12-13 0:19:00,0.0,0.12,0.0,0.28,0.0,0.4,92.0
2020-12-13 0:20:00,0.0,0.12,0.0,0.27,0.0,0.39,92.0
2020-12-13 0:21:00,0.0,0.12,0.0,0.28,0.0,0.4,92.0
2020-12-13 0:22:00,0.0,0.12,0.0,0.27,0.0,0.39,92.0
2020-12-13 0:23:00,0.0,0.12,0.0,0.28,0.0,0.4,92.0
2020-12-13 0:24:00,0.0,0.12,0.0,0.27,0.0,0.39,92.0
2020-12-13 0:25:00,0.0,0.12,0.0,0.28,0.0,0.4,92.0
2020-12-13 0:26:00,0.0,0.12,0.0,0.28,0.0,0.4,91.0
2020-12-13 0:27:00,0.0,0.12,0.0,0.28,0.0,0.4,91.0
2020-12-13 0:28:00,0.0,0.12,0.0,0.27,0.0,0.39,91.0
2020-12-13 0:29:00,0.0,0.12,0.0,0.28,0.0,0.4,91.0
2020-12-13 0:30:00,0.0,0.12,0.0,0.27,0.0,0.39,91.0
2020-12-13 0:31:00,0.0,0.12,0.0,0.28,0.0,0.4,91.0
2020-12-13 0:32:00,0.0,0.12,0.0,0.28,0.0,0.4,91.0
2020-12-13 0:33:00,0.0,0.12,0.0,0.28,0.0,0.4,91.0
2020-12-13 0:34:00,0.0,0.12,0.0,0.28,0.0,0.4,91.0
2020-12-13 0:35:00,0.0,0.12,0.0,0.3,0.0,0.42,91.0
